Titulo,Data de lançamento,Visão geral,Votos,Média de votos
Minha Culpa,2023-06-08,"Noah é obrigada a mudar de cidade, deixando seus amigos e namorado para trás, após sua mãe se casar com um novo marido rico. Lá ela conhece Nick, seu novo meio-irmão, e os dois se apaixonam loucamente, vivendo um grande romance proibido.",3134,7.908
Wicked,2024-11-20,"O longa conta a história de Elphaba (Cynthia Erivo), uma jovem incompreendida por causa de sua pele verde incomum, que ainda não descobriu seu verdadeiro poder, e de Glinda (Ariana Grande), uma jovem popular e ambiciosa que só quer saber de privilégios e ainda não conhece a sua verdadeira alma. As duas se conhecem na Universidade de Shiz, na Terra de OZ, e se tornam grandes amigas, mas suas diferenças fazem com que a vida as separe, levando-as a cumprirem seus destinos como a Bruxa Boa e a Bruxa Má do Oeste.",592,7.6
Sua Culpa,2024-12-26,"O amor entre Noah e Nick aparenta ser inabalável, apesar das tentativas de seus pais de separá-los. Mas o emprego dele, e a entrada dela na faculdade abrem suas vidas para novos relacionamentos. O retorno de uma ex-namorada vingativa e da mãe de Nick, com intenções obscuras, vão balançar não só o relacionamento deles, mas também de toda a família Leister. Quando tantas pessoas buscam destruir um relacionamento, será que ele consegue sobreviver?",0,0.0
Anora,2024-10-14,"Anora, uma jovem profissional do sexo que trabalha nas noites do Brooklyn, pode se tornar a Cinderela da sua própria história quando encontra e casa, por impulso, com o filho de um oligarca russo. Mas quando a notícia chega à Rússia, seu conto de fadas fica ameaçado com a chegada dos pais dele a Nova York para cancelar o casamento.",407,7.3
Todo Tempo Que Temos,2024-10-10,"As vidas de Almut, uma talentosa chef de cozinha, e Tobias, um homem recém-divorciado, mudam para sempre quando eles se conhecem. Após um encontro inusitado, eles se apaixonam e constroem o lar e a família que sempre sonharam, até que uma verdade dolorosa põe à prova essa história de amor. Decididos a enfrentar as dificuldades, Almut e Tobias embarcam numa jornada emocionante, onde vão aprender que cada minuto conta quando estamos ao lado de quem amamos.",229,7.6
일본 엄마,2017-02-09,,30,6.2
Pídeme lo que quieras,2024-11-29,,8,6.188
Tuhog,2023-11-03,,3,7.0
365 Dias: Hoje,2022-04-26,"Em 365 Dias: Hoje, após os acontecimentos de 365 Dias, Laura Biel se casa com Don Massimo, o chefe da máfia siciliana que a sequestrou. Sua vida parece um conto de fadas: ela tem um marido amoroso, uma casa linda e um bebê a caminho. Mas Massimo tem muitos inimigos, e eles sabem que a melhor maneira de lhe causar dor é ferir aqueles que ama. Depois de um mal-entendido conjugal, Laura e sua melhor amiga, Olga, fogem da Sicília para a Polônia natal. Mas sem a proteção do marido, Laura é sequestrada por Marcelo ""Nacho"" Matos, filho do chefe da máfia rival, e levada para as Ilhas Canárias pela máfia espanhola. Agora Massimo moverá qualquer montanha para resgatá-la. Mas o que o chefe da máfia siciliana não espera é que Laura começa a ter sentimentos pelo seu raptor, lindo e extremamente perigoso, enquanto é mantida refém.",1549,5.9
TOGEFILM - Mei Mei,2023-04-06,,1,10.0
My Fault: London,2025-02-13,,0,0.0
É Assim Que Acaba,2024-08-07,"Lily Bloom, uma mulher que supera uma infância traumática para começar uma nova vida em Boston e perseguir o sonho de sua vida de abrir seu próprio negócio. Um encontro casual com o charmoso neurocirurgião Ryle Kincaid desencadeia uma conexão intensa, mas à medida que os dois se apaixonam profundamente, Lily começa a ver lados de Ryle que a lembram do relacionamento de seus pais. Quando o primeiro amor de Lily, Atlas Corrigan, reaparece repentinamente em sua vida, seu relacionamento com Ryle é abalado, e Lily percebe que deve aprender a confiar em sua própria força para fazer uma escolha impossível para o seu futuro.",1136,7.3
Titanic,1997-11-18,"Um artista pobre e uma jovem rica se conhecem e se apaixonam na fatídica jornada do Titanic, em 1912. Embora esteja noiva do arrogante herdeiro de uma siderúrgica, a jovem desafia sua família e amigos em busca do verdadeiro amor.",25400,7.907
Livre: Encanto criminal,2024-11-01,"Inspirado no caso real de um dos ladrões não violentos mais conhecidos da França na década de 1980, Bruno Sulak, que comandou vários assaltos e ganhou a atenção do público por causa das suas várias fugas ousadas da prisão... sempre para se reencontrar com sua amada cúmplice, Annie. Isso o levou a se tornar o Inimigo Público Nº 1 da França e um ícone da liberdade.",75,6.593
Collections privées,1979-06-27,,13,5.2
Cinquenta Tons de Cinza,2015-02-11,"Anastasia Steele (Dakota Johnson) é uma estudante de literatura de 21 anos, recatada e virgem. Uma dia ela deve entrevistar para o jornal da faculdade o poderoso magnata Christian Grey (Jamie Dornan). Nasce uma complexa relação entre ambos: com a descoberta amorosa e sexual, Anastasia conhece os prazeres do sadomasoquismo, tornando-se o objeto de submissão do sádico Grey.",11764,5.883
Below Her Mouth,2017-02-10,"É em um fim de semana inesperado e desinibido que um caso de amor apaixonado se inicia entre duas mulheres. Dallas, carpinteira, e Jasmine, uma editora de moda, compartilham uma conexão poderosa e imediata que inevitavelmente vai mudar a vida das duas para sempre.",1185,6.8
365 Dias Finais,2022-08-18,"A falta de confiança deixa a relação entre Laura e Massimo por um fio. Enquanto isso, Nacho usa de sua esperteza para afastá-los ainda mais.",1121,6.4
After,2019-04-11,"Tessa Young é uma jovem com uma vida simples, ótimas notas na escola, muitos amigos e um bom namorado. Todos os próximos passos de sua vida já estão planejados, mas as coisas mudam quando ela conhece um homem atraente e cheio de segredos sombrios.",8220,7.121
O Voyeur,1994-01-27,"Numa faculdade em Roma, o professor Dodo sofre uma profunda depressão desde que foi deixado por sua bela mulher - que o trocou por outro homem. Ele a quer de volta e tem sonhos eróticos constantes com a ex. Mas várias coisas acontecem para que ele a esqueça. Primeiro, ele é seduzido por uma aluna que lhe pediu carona. Depois, visitando pai, conhece a sensual enfermeira que dá atenção a muitas outras coisas além da perna qubrada do velho.",205,5.5
